Setelah 0
itu, 0
mereka 0
masuk 0
ke 0
Jalan STREET
Raya STREET
Campaka-Ramayana STREET
Sadang, CITY
Kabupaten REGION
Purwakarta CITY
Kemudian O
putar O
balik O
ke O
Jalan STREET
Campaka-Cipeundeuy-Kalijati-Otto STREET
Iskandardinata-Ahmad STREET
Yani STREET
Jalan STREET
Raya STREET
Cijambe STREET
dan O
finish O
di O
Kantor O
Kecamatan REGION
Jalan STREET
Cagak STREET
Harian O
Detik ORGANIZATION 
hari O
melaporkan O
ASIAN ORGANIZATION 
GAMES ORGANIZATION 
yang O
diselenggarakan O
di O
indonesia CITY
dan O
pada O
acara O
balap O
sepeda O
dengan O
route O
karawang CITY
purwakarta CITY
subang CITY
dengan O
titik O
lokasi O
-6.571589 COORDINATES
107.758736 COORDINATES
-6.571589-107.758736 COORDINATES
Di O
awal O
balapan O
, O
pebalap O
Indonesia COUNTRY
Aiman PERSON
Cahyadi PERSON
Jamal PERSON
Hibatullah PERSON
Dadi PERSON
Suryadi PERSON
dan O
Robin PERSON
Manullang PERSON
sudah O
keteteran O
bersaing O
dengan O
pebalap O
lain. O
Mereka O
harus O
mengakui O
keunggulan O
dari O
pebalap O
Kazakhstan COUNTRY
Korea COUNTRY
Selatan O
Jepang COUNTRY
dan O
negara O
lainnya O
Memasuki O
10 NUMBER
km O
terakhir O
atlet O
Indonesia COUNTRY
mencoba O
mempercepat O
laju O
sepedanya O
Tapi O
lagi-lagi O
tidak O
bisa O
mengimbangi O
keperkasaan O
atlet O
Kazaktan COUNTRY
yang O
memang O
diunggulkan O
Empat O
atlet O
Indonesia COUNTRY
akhirnya O
hanya O
mampu O
menyentuh O
garis O
finis O
di O
urutan O
kesembilan O
atas O
nama O
Aiman PERSON
Cahyadi PERSON
dengan O
catatan O
waktu O
3 NUMBER
jam O
26,1 NUMBER
detik O
disusul O
Robin PERSON
Manullang PERSON
dengan O
catatan O
waktu O
yang O
sama. O

Sementara, O
dua O
pebalap O
Indonesia COUNTRY
lainnya O
Dadi PERSON
Suryadi PERSON
harus O
puas O
di O
urutan O
19 NUMBER
dan O
Jamal PERSON
Hibatullah PERSON
di O
urutan O
34 NUMBER
dengan O
catatan O
waktu O
masing-masing O
3:27:45 TIME
dan O
3:31:41 TIME
